,DoB,ID,Name,Rating,Subscriber,Education,Gender
0,1965-06-17,fdb5e1c7ab8a4b3584cab05c42be7910,Jason Campbell,1,True,Employed,male
1,1988-07-09,26939ad792414fe5905866db28bd4189,Sabrina Brown,5,True,Employed,female
2,2004-09-22,63fc07d2b6f344a496e5d34b092edbbb,Joseph Lopez,1,True,High Schoool,male
3,1980-11-08,af6d87e4690544a6abed4f06f48bba49,Danielle Garrett,4,False,Employed,female
4,1979-07-12,d1dae2b71e7047e48cb8efd147c8e774,Christopher Anderson,1,False,Employed,male
5,1980-02-29,85194f3ab17e485d9f01e9322d1a92cd,Larry Pacheco,5,True,Employed,male
6,1998-02-17,f247121d3a2a4097ad8f3cc806a0f904,Wayne Jefferson,5,False,Grad,male
7,1966-05-10,60ca90f6b19745a6b59c8f4baa5a0691,Elizabeth Green,4,True,Employed,female
8,1960-12-16,baab3c3e04454d5f94f5e3e1e9698430,Megan Woods,4,False,Employed,female
9,1996-04-25,79124c6187a94fd99bb033686fd1dd0d,Justin Johnson,4,False,Grad,male
10,1989-10-10,1e8825907e3145a68323c64f6b85a573,Erika Hogan,2,True,Employed,female
11,1963-03-26,2d8e4f86d0364ed29c37d6b2acfa0b84,Kimberly Benson,3,False,Employed,female
12,1972-08-22,8a2cb5bb42cb4330b56de598b47755f6,George Carter,1,False,Employed,male
13,1993-01-26,d49451b24b40437d9563285f62a5743c,Frederick Fitzgerald,4,False,Employed,male
14,1963-11-08,29700fcaed154070aebf81bfe6a68532,Marie Scott,4,True,Employed,female
15,1969-12-22,1fe3b76621b940fa89aa597eb38b2ea3,Barry Dean,3,True,Employed,male
16,1964-05-25,c5dc169a1b4b401d8ae2da16e60037dc,Stephen Chavez,5,True,Employed,male
17,1980-04-30,aec02ad62b7a4fa09be6a17848493427,Sarah Schultz,4,False,Employed,female
18,1994-11-19,c24cf62627ac48b2ae1e9c620afdd174,Kevin Johnson,1,False,Employed,male
19,1966-04-01,03736e75b78f4528957ca26de27a02d6,Bryan Martinez,4,False,Employed,male
20,1991-06-29,0fb76c7ee6e3493883b32e9b750f18e0,Susan Dudley,1,True,Employed,female
21,1996-04-15,d370c1334ea54a2cbe6b69b1ca73fcbd,Meredith Mitchell,5,True,Grad,female
22,1979-02-03,91adb0edfea346f88941726673de4224,Justin Bailey,1,True,Employed,male
23,2002-12-04,d46a1faa2fde4268b30afe927c97bbd9,Emily Gonzales,1,False,Undergrad,female
24,1993-02-02,384aa95e1dd9465a99f0e88b733a1f43,Melanie Irwin,1,False,Employed,female
25,1975-04-23,5cccf7514b0d4b37999a3d278a04aea9,Mary Williams,1,True,Employed,female
26,1983-02-06,7e52b173c7fa4affb504249aa2f2bc86,Jonathan Brown,1,True,Employed,male
27,2000-01-07,7facab5964d64ce1a420cad26271b91a,Robert Sullivan,2,False,Undergrad,male
28,1979-10-17,451c2e74d1d94f95be001d4303c28cc2,Mark Duke,1,True,Employed,male
29,1978-10-08,5e3068e500894e0f9795d2d6513d81f7,Matthew Reyes,5,True,Employed,male
30,1989-03-25,4dcc8051b4bd44388e1625c6c84cba40,Erica Hughes,5,False,Employed,female
31,1993-11-20,6e75d503c97a4e7288efcee75c76b856,Tyler Ellis,5,False,Employed,male
32,1968-06-12,b6da043e0b694938a488904fb67e4dc5,Paul Jones,3,False,Employed,male
33,1965-03-20,dea2e26bb9104d70958a832b96684ef5,Margaret Lam,5,False,Employed,female
34,1968-01-07,10b7bcd18d374b14a4ccacec6c581724,Paul Rodriguez,5,False,Employed,male
35,1972-07-08,0ffee5242d7a412a9ac7ceb689ce8f78,Cameron Thompson,4,False,Employed,male
36,2001-04-10,1fe41029771c4b8c91acb147c37ac1ba,Benjamin Bryant,1,False,Undergrad,male
